main_id,st_name,dist,dist_name,start_time,end_time,side,from,to,miles,section,one_way,week_1,week_2,week_3,week_4,week_5,sunday,monday,tuesday,wednesday,thursday,friday,saturday,every_day,year_round,north_end_pilot,timestamp,parent,losta,hista
3454,Jerome St,3,North Dorchester,08:00,12:00,Odd,Hancock St,Cushing Ave,0.0655,,f,t,f,t,f,f,f,f,f,f,f,t,f,f,f,f,2014-04-02 12:23:52+00,JEROM1,0,346
3455,Jerome St,3,North Dorchester,08:00,12:00,Even,Hancock St,Cushing Ave,0.0655,,f,f,t,f,t,f,f,f,f,f,f,t,f,f,f,f,2014-04-02 12:23:45+00,JEROM1,0,346
3456,Shirley St,3,North Dorchester,08:00,12:00,Odd,Dudley St,Massachusetts Ave,0.4271,,f,t,f,t,f,f,f,f,f,f,f,t,f,f,f,f,2014-04-02 12:26:22+00,SHIRL1,0,2255
3457,Shirley St,3,North Dorchester,08:00,12:00,Even,Dudley St,Massachusetts Ave,0.4271,,f,f,t,f,t,f,f,f,f,f,f,t,f,f,f,f,2014-04-02 12:26:58+00,SHIRL1,0,2255
3458,Norfolk Ave,3,North Dorchester,08:00,12:00,Odd,Magazine St,East Cottage St,0.4699,,f,t,f,t,f,f,f,f,f,f,f,t,f,f,f,f,2014-04-02 12:35:40+00,NORFO1,1296,3777
3459,Norfolk Ave,3,North Dorchester,08:00,12:00,Even,Magazine St,East Cottage St,0.4699,,f,f,t,f,t,f,f,f,f,f,f,t,f,f,f,f,2014-04-02 12:36:40+00,NORFO1,1296,3777
3460,Magazine St,3,North Dorchester,08:00,12:00,Odd,Dudley St,Massachusetts Ave,0.4119,,f,t,f,t,f,f,f,f,f,f,f,t,f,f,f,f,2014-04-02 12:38:13+00,MAGAZ1,0,2175
3461,Magazine St,3,North Dorchester,08:00,12:00,Even,Dudley St,Massachusetts Ave,0.4119,,f,f,t,f,t,f,f,f,f,f,f,t,f,f,f,f,2014-04-02 12:38:51+00,MAGAZ1,0,2175
3462,Virginia St,3,North Dorchester,12:00,16:00,Odd,Bird St,Dudley St,0.2576,,f,t,f,t,f,f,f,f,f,f,t,f,f,f,f,f,2014-04-02 14:15:50+00,VIRGI2,0,1361
3463,Virginia St,3,North Dorchester,12:00,16:00,Even,Bird St,Dudley St,0.2576,,f,f,t,f,t,f,f,f,f,f,t,f,f,f,f,f,2014-04-02 14:16:37+00,VIRGI2,0,1361
3464,Sayward St,3,North Dorchester,12:00,16:00,Odd,Bird St,Columbia Rd,0.0822,,f,t,f,t,f,f,f,f,f,f,t,f,f,f,f,f,2014-04-02 14:18:07+00,SAYWA1,0,434
3465,Sayward St,3,North Dorchester,12:00,16:00,Even,Bird St,Columbia Rd,0.0822,,f,f,t,f,t,f,f,f,f,f,t,f,f,f,f,f,2014-04-02 14:18:43+00,SAYWA1,0,434
3466,Glendale St,3,North Dorchester,08:00,12:00,Odd,Hancock St,Columbia Rd,0.1833,,f,t,f,t,f,f,f,f,f,f,t,f,f,f,f,f,2014-04-02 14:47:51+00,GLEND1,0,968
3467,Glendale St,3,North Dorchester,08:00,12:00,Even,Hancock St,Columbia Rd,0.1833,,f,f,t,f,t,f,f,f,f,f,t,f,f,f,f,f,2014-04-02 14:48:26+00,GLEND1,0,968
3468,Bodwell St,3,North Dorchester,12:00,16:00,Odd,Columbia Rd,Bird St,0.1155,,f,t,f,t,f,f,f,f,f,f,t,f,f,f,f,f,2014-04-02 14:49:37+00,BODWE1,0,610
3469,Bodwell St,3,North Dorchester,12:00,16:00,Even,Columbia Rd,Bird St,0.1155,,f,f,t,f,t,f,f,f,f,f,t,f,f,f,f,f,2014-04-02 14:50:07+00,BODWE1,0,610
3470,Baker Ave,3,North Dorchester,12:00,16:00,Odd,Quincy St,Bodwell St,0.0981,,f,t,f,t,f,f,f,f,f,f,t,f,f,f,f,f,2014-04-02 15:02:44+00,BAKER1,0,518
3471,Baker Ave,3,North Dorchester,12:00,16:00,Even,Quincy St,Bodwell St,0.0981,,f,f,t,f,t,f,f,f,f,f,t,f,f,f,f,f,2014-04-02 15:03:29+00,BAKER1,0,518
3472,Drayton Ave,3,North Dorchester,12:00,16:00,Odd,Quincy St,Bodwell St,0.0839,,f,f,f,t,f,f,f,f,f,f,t,f,f,f,f,f,2014-04-02 15:19:53+00,DRAYT1,0,443
3473,Drayton Ave,3,North Dorchester,12:00,16:00,Even,Quincy St,Bodwell St,0.0839,,f,f,t,f,t,f,f,f,f,f,t,f,f,f,f,f,2014-04-02 15:20:25+00,DRAYT1,0,443
3474,Davern Ave,3,North Dorchester,12:00,16:00,Odd,Virginia St,Columbia Rd,0.0742,,f,t,f,t,f,f,f,f,f,f,t,f,f,f,f,f,2014-04-02 15:22:42+00,DAVER1,0,392
3475,Davern Ave,3,North Dorchester,12:00,16:00,Even,Virginia St,Columbia Rd,0.0742,,f,f,t,f,t,f,f,f,f,f,t,f,f,f,f,f,2014-04-02 15:23:11+00,DAVER1,0,392
3476,Cedar Pl,3,North Dorchester,12:00,16:00,Odd,Bird St,Dead End,0.0521,,f,t,f,t,f,f,f,f,f,f,t,f,f,f,f,f,2014-04-02 15:25:42+00,CEDAR2,0,275
3477,Cedar Pl,3,North Dorchester,12:00,16:00,Even,Bird St,Dead End,0.0521,,f,f,t,f,t,f,f,f,f,f,t,f,f,f,f,f,2014-04-02 15:26:11+00,CEDAR2,0,275
3478,Monadnock St,3,North Dorchester,12:00,16:00,Odd,Bird St,Dudley St,0.2765,,f,t,f,t,f,f,f,f,f,f,t,f,f,f,f,f,2014-04-02 15:27:43+00,MONAD1,0,1460
3479,Monadnock St,3,North Dorchester,12:00,16:00,Even,Bird St,Dudley St,0.2765,,f,f,t,f,t,f,f,f,f,f,t,f,f,f,f,f,2014-04-02 15:28:17+00,MONAD1,0,1460
3480,Rowell St,3,North Dorchester,08:00,12:00,Odd,Hancock St,Cushing Ave,0.1163,,f,t,f,t,f,f,f,f,f,f,f,t,f,f,f,f,2014-04-02 15:38:01+00,ROWEL1,0,614
3481,Rowell St,3,North Dorchester,08:00,12:00,Even,Hancock St,Cushing Ave,0.1163,,f,f,t,f,t,f,f,f,f,f,f,t,f,f,f,f,2014-04-02 15:38:35+00,ROWEL1,0,614
3482,Payson Ave,3,North Dorchester,08:00,12:00,Odd,Hancock St,Glendale St,0.1405,,f,t,f,t,f,f,f,f,f,f,t,f,f,f,f,f,2014-04-02 15:40:06+00,PAYSO1,0,742
3483,Payson Ave,3,North Dorchester,08:00,12:00,Even,Hancock St,Glendale St,0.1405,,f,f,t,f,t,f,f,f,f,f,t,f,f,f,f,f,2014-04-02 15:40:37+00,PAYSO1,0,742
3484,Glendale St,3,North Dorchester,12:00,16:00,Odd,Columbia Rd,Bird St,0.1093,,f,t,f,t,f,f,f,f,f,f,t,f,f,f,f,f,2014-04-02 16:00:15+00,GLEND1,908,1485
3485,Glendale St,3,North Dorchester,12:00,16:00,Even,Columbia Rd,Bird St,0.1093,,f,f,t,f,t,f,f,f,f,f,t,f,f,f,f,f,2014-04-02 16:01:25+00,GLEND1,908,1485
3486,Bird St,3,North Dorchester,12:00,16:00,Odd,Magnolia St,Alexander St,0.0547,,f,t,f,t,f,f,f,f,f,f,t,f,f,f,f,f,2014-04-02 16:15:11+00,BIRD 2,0,289
3487,Bird St,3,North Dorchester,12:00,16:00,Even,Magnolia St,Alexander St,0.0547,,f,f,t,f,t,f,f,f,f,f,t,f,f,f,f,f,2014-04-02 16:15:46+00,BIRD 2,0,289
3488,Glen Rd,2,Jamaica Plain,08:00,12:00,Odd,Washington St,Franklin Park,0.2468,,f,t,f,t,f,f,f,f,f,f,t,f,f,f,f,f,2014-04-02 16:19:40+00,GLEN 2,0,1303
3489,Glen Rd,2,Jamaica Plain,08:00,12:00,Even,Washington St,Franklin Park,0.2468,,f,f,t,f,t,f,f,f,f,f,t,f,f,f,f,f,2014-04-02 16:20:40+00,GLEN 2,0,1303
3490,Commonwealth Ave,4,Allston/Brighton,08:00,12:00,Odd,Lake St,Chestnut Hill Ave,0.6845,,f,t,f,t,f,f,f,f,f,f,f,t,f,f,f,f,2014-04-02 16:54:54+00,COMMO1,25139,28753
3491,Lochstead Ave,2,Jamaica Plain,08:00,12:00,Even,Centre St,Jamaicaway,0.1898,,f,f,t,f,t,f,f,f,f,t,f,f,f,f,f,f,2014-10-15 14:41:37+00,LOCHS1,0,1002
3492,Lochstead Ave,2,Jamaica Plain,08:00,12:00,Odd,Centre St,Jamaicaway,0.1898,,f,t,f,t,f,f,f,f,f,t,f,f,f,f,f,f,2014-10-15 14:41:26+00,LOCHS1,0,1002
3493,Pinckney St,1H,Beacon Hill,08:00,12:00,Even,Charles St,David G Mugar Way,0.0814,,f,f,t,f,t,f,f,f,t,f,f,f,f,f,f,f,2014-10-15 15:11:09+00,PINCK1,1528,1958
3494,Salcombe St,3,North Dorchester,08:00,12:00,Even,Cushing St,Stoughton St,0.1456,,f,f,t,f,t,f,f,f,f,f,f,t,f,f,f,f,2019-04-09 15:31:55+00,SALCO1,0,769
3495,Salcombe St,3,North Dorchester,08:00,12:00,Odd,Cushing St,Stoughton St,0.1456,,f,t,f,t,f,f,f,f,f,f,f,t,f,f,f,f,2019-04-09 15:32:15+00,SALCO1,0,769
3496,Evans St,7,South Dorchester,08:00,12:00,Odd,Milton St,Morton St,0.4612,,f,t,f,t,f,f,f,f,f,f,t,f,f,f,f,f,2015-04-01 19:12:33+00,EVANS2,0,2435
